player_name,runs_scored,minutes_batted,balls_faced,boundary_fours,boundary_sixes,batting_strike_rate,team,opposition,ground,match_date
AGS Gous,104,-,55,12,5,189.09,Pokhara,v Lumbini,Kirtipur,6-Dec-24
RK Paudel,95,-,59,10,4,161.01,Lumbini,v Pokhara,Kirtipur,6-Dec-24
SA Zaib,90,-,61,6,5,147.54,S Paschim,v Lumbini,Kirtipur,7-Dec-24
BKEL Milantha,87,-,49,9,4,177.55,Janakpur,v S Paschim,Kirtipur,21-Dec-24
RK Paudel,80,-,57,6,5,140.35,Lumbini,v Chitwan,Kirtipur,10-Dec-24
B Yadav,77,-,54,3,7,142.59,Lumbini,v S Paschim,Kirtipur,7-Dec-24
BKEL Milantha,75,-,53,9,3,141.5,Janakpur,v Biratnagar,Kirtipur,30-Nov-24
S Dhawan,72,-,51,4,5,141.17,Karnali,v Kathmandu,Kirtipur,4-Dec-24
Kushal Malla,72,-,41,3,7,175.6,Chitwan,v Janakpur,Kirtipur,14-Dec-24
Lokesh Bam,71,-,47,3,6,151.06,Biratnagar,v Lumbini,Kirtipur,4-Dec-24
SA Zaib,69,-,43,8,2,160.46,S Paschim,v Janakpur,Kirtipur,21-Dec-24
Basir Ahamad,68,-,44,4,4,154.54,Biratnagar,v Chitwan,Kirtipur,13-Dec-24
WG Bosisto,66,-,49,5,3,134.69,Karnali,v Biratnagar,Kirtipur,7-Dec-24
Hassan Eisakhil,65,-,52,6,3,125,Chitwan,v S Paschim,Kirtipur,8-Dec-24
JDS Neesham,65,-,24,5,6,270.83,Janakpur,v Chitwan,Kirtipur,14-Dec-24
AK Sah,62,-,42,6,3,147.61,Janakpur,v Karnali,Kirtipur,2-Dec-24
D Kharel,61,-,46,4,4,132.6,Pokhara,v Lumbini,Kirtipur,6-Dec-24
SS Eskinazi,60,-,34,10,-,176.47,Kathmandu,v Pokhara,Kirtipur,14-Dec-24
RS Bopara,59,-,40,7,1,147.5,Chitwan,v Karnali,Kirtipur,6-Dec-24
B Bhandari,58,-,55,3,3,105.45,S Paschim,v Janakpur,Kirtipur,18-Dec-24
DS Airee,57,-,24,3,5,237.5,S Paschim,v Biratnagar,Kirtipur,3-Dec-24
MJ Guptill,55,-,43,7,1,127.9,Biratnagar,v Janakpur,Kirtipur,30-Nov-24
B McMullen,53,-,36,3,4,147.22,S Paschim,v Kathmandu,Kirtipur,5-Dec-24
D Khanal,53,-,48,4,2,110.41,Karnali,v Biratnagar,Kirtipur,7-Dec-24
RS Bopara,53,-,34,3,4,155.88,Chitwan,v Karnali,Kirtipur,18-Dec-24
JA Kolsawala,53,-,39,6,2,135.89,Karnali,v Chitwan,Kirtipur,18-Dec-24
Saad Bin Zafar,52,-,35,4,1,148.57,Lumbini,v Chitwan,Kirtipur,10-Dec-24
WG Bosisto,52,-,39,3,2,133.33,Karnali,v Chitwan,Kirtipur,18-Dec-24
RS Bopara,51,-,38,3,3,134.21,Chitwan,v Pokhara,Kirtipur,3-Dec-24
Gulsan Jha,49,-,37,3,4,132.43,Karnali,v Pokhara,Kirtipur,10-Dec-24
CAK Walton,46,-,23,4,3,200,Karnali,v Chitwan,Kirtipur,18-Dec-24
RK Paudel,46,-,29,4,2,158.62,Lumbini,v Biratnagar,Kirtipur,4-Dec-24
BKEL Milantha,45,-,32,8,-,140.62,Janakpur,v Pokhara,Kirtipur,5-Dec-24
S Dhawan,45,-,41,4,1,109.75,Karnali,v Chitwan,Kirtipur,6-Dec-24
TJ Moores,45,-,38,2,2,118.42,Lumbini,v Pokhara,Kirtipur,6-Dec-24
