player,span,matches_played,innings_batted,not_out,runs,highest_inns_score,batting_average,balls_faced,strike_rate,hundreds_scored,fifties_scored,ducks_scored,boundary_fours,boundary_sixes
NK Yadav (KAY),2024-2024,9,5,2,4,4,1.33,16,25,-,-,3,0,0
Saad Bin Zafar (LUL),2024-2024,7,6,-,83,52,13.83,63,131.74,-,1,3,5,2
Rit Gautam (KAY),2024-2024,2,2,-,-,-,-,4,-,-,-,2,0,0
BP Sharma (KAY),2024-2024,8,2,-,-,-,-,3,-,-,-,2,0,0
LN Rajbanshi (JAB),2024-2024,10,3,-,4,4,1.33,14,28.57,-,-,2,1,0
UBT Chand (LUL),2024-2024,4,4,-,18,14,4.5,29,62.06,-,-,2,2,0
RR Simmonds (LUL),2024-2024,7,4,2,6,4,3,13,46.15,-,-,2,0,0
S Malla (JAB),2024-2024,8,5,1,24,16,6,27,88.88,-,-,2,0,1
K Bhurtel (POA),2024-2024,7,6,-,54,31,9,65,83.07,-,-,2,4,2
Sohail Tanvir (CHR),2024-2024,8,6,2,11,5,2.75,13,84.61,-,-,2,2,0
Gulsan Jha (KAY),2024-2024,9,9,2,132,49,18.85,120,110,-,-,2,7,9
D Khanal (KAY),2024-2024,9,9,-,116,53,12.88,140,82.85,-,1,2,9,4
Abhishesh Gautam (LUL),2024-2024,4,1,-,-,-,-,1,-,-,-,1,0,0
S Aryal (POA),2024-2024,1,1,-,-,-,-,0,-,-,-,1,0,0
TR Das (POA),2024-2024,1,1,-,-,-,-,1,-,-,-,1,0,0
BFW de Leede (POA),2024-2024,1,1,-,-,-,-,1,-,-,-,1,0,0
JK Mukhiya (BIK),2024-2024,1,1,-,-,-,-,1,-,-,-,1,0,0
UBS Thakuri (KAY),2024-2024,5,2,-,12,12,6,18,66.66,-,-,1,2,0
MJJ Critchley (POA),2024-2024,4,3,-,52,35,17.33,55,94.54,-,-,1,5,1
SA Edwards (BIK),2024-2024,3,3,-,60,45,20,53,113.2,-,-,1,6,0
Ismat Alam (BIK),2024-2024,3,3,-,11,6,3.66,20,55,-,-,1,1,0
A Yadav (JAB),2024-2024,5,3,-,12,11,4,24,50,-,-,1,0,0
D Kandel (KAG),2024-2024,6,4,3,12,11,12,9,133.33,-,-,1,1,1
LM Benkenstein (CHR),2024-2024,5,5,-,85,31,17,77,110.38,-,-,1,6,6
Bipin Khatri (POA),2024-2024,7,5,1,24,10,6,26,92.3,-,-,1,0,2
N Joshi (POA),2024-2024,6,5,2,38,30,12.66,33,115.15,-,-,1,3,2
S Lamichhane (BIK),2024-2024,7,5,1,22,8,5.5,20,110,-,-,1,1,1
S Maharjan (KAG),2024-2024,5,5,1,87,40,21.75,95,91.57,-,-,1,7,1
B Yadav (LUL),2024-2024,6,5,3,100,77,50,72,138.88,-,1,1,3,10
A Ghiraiya (LUL),2024-2024,6,6,-,44,16,7.33,70,62.85,-,-,1,5,1
AGS Gous (POA),2024-2024,6,6,1,224,104,44.8,136,164.7,1,-,1,30,9
MJ Guptill (BIK),2024-2024,6,6,-,137,55,22.83,114,120.17,-,1,1,15,5
S Kansakar (JAB),2024-2024,10,6,1,71,26,14.2,76,93.42,-,-,1,7,3
MA Leask (POA),2024-2024,7,6,-,44,25,7.33,35,125.71,-,-,1,1,4
A Saud (LUL),2024-2024,6,6,-,68,20,11.33,71,95.77,-,-,1,9,1
CB Sole (BIK),2024-2024,7,6,1,35,14,7,27,129.62,-,-,1,2,3
Karan KC (KAG),2024-2024,7,7,-,51,28,7.28,39,130.76,-,-,1,4,3
NR Kirton (BIK),2024-2024,7,7,-,93,40,13.28,103,90.29,-,-,1,9,2
M Levitt (KAG),2024-2024,7,7,-,102,32,14.57,74,137.83,-,-,1,15,4
Lokesh Bam (BIK),2024-2024,7,7,-,131,71,18.71,96,136.45,-,1,1,8,10
Rashid Khan (KAG),2024-2024,7,7,1,29,14,4.83,53,54.71,-,-,1,1,1
AK Sah (JAB),2024-2024,7,7,1,132,62,22,111,118.91,-,1,1,10,7
Aarif Sheikh (SPR),2024-2024,9,8,2,69,42,11.5,71,97.18,-,-,1,5,1
Zeeshan Maqsood (KAY),2024-2024,9,8,3,85,30,17,90,94.44,-,-,1,9,1
DS Airee (SPR),2024-2024,9,9,3,227,57,37.83,141,160.99,-,1,1,15,12
Aasif Sheikh (JAB),2024-2024,10,10,-,162,36,16.2,151,107.28,-,-,1,17,5
