player,span,matches_played,innings_batted,not_out,runs,highest_inns_score,batting_average,balls_faced,strike_rate,hundreds_scored,fifties_scored,fifty_or_more,ducks_scored,boundary_fours,boundary_sixes
RS Bopara (CHR),2024-2024,8,8,1,286,59,40.85,211,135.54,-,3,3,-,24,11
WG Bosisto (KAY),2024-2024,7,6,1,194,66,38.8,163,119.01,-,2,2,-,13,8
RK Paudel (LUL),2024-2024,7,7,-,279,95,39.85,212,131.6,-,2,2,-,26,11
SA Zaib (SPR),2024-2024,9,9,-,275,90,30.55,202,136.13,-,2,2,-,24,12
BKEL Milantha (JAB),2024-2024,10,10,1,293,87,32.55,224,130.8,-,2,2,-,35,9
JA Kolsawala (KAY),2024-2024,2,2,-,54,53,27,43,125.58,-,1,1,-,6,2
S Dhawan (KAY),2024-2024,4,4,1,136,72,45.33,111,122.52,-,1,1,-,12,6
B Yadav (LUL),2024-2024,6,5,3,100,77,50,72,138.88,-,1,1,1,3,10
AGS Gous (POA),2024-2024,6,6,1,224,104,44.8,136,164.7,1,-,1,1,30,9
Saad Bin Zafar (LUL),2024-2024,7,6,-,83,52,13.83,63,131.74,-,1,1,3,5,2
Hassan Eisakhil (CHR),2024-2024,6,6,-,125,65,20.83,96,130.2,-,1,1,-,13,6
MJ Guptill (BIK),2024-2024,6,6,-,137,55,22.83,114,120.17,-,1,1,1,15,5
D Kharel (POA),2024-2024,7,7,1,162,61,27,142,114.08,-,1,1,-,17,8
SS Eskinazi (KAG),2024-2024,7,7,-,133,60,19,115,115.65,-,1,1,-,19,1
Basir Ahamad (BIK),2024-2024,7,7,2,181,68,36.2,147,123.12,-,1,1,-,11,7
Lokesh Bam (BIK),2024-2024,7,7,-,131,71,18.71,96,136.45,-,1,1,1,8,10
AK Sah (JAB),2024-2024,7,7,1,132,62,22,111,118.91,-,1,1,1,10,7
Kushal Malla (CHR),2024-2024,8,8,-,223,72,27.87,184,121.19,-,1,1,-,11,15
DS Airee (SPR),2024-2024,9,9,3,227,57,37.83,141,160.99,-,1,1,1,15,12
B Bhandari (SPR),2024-2024,9,9,1,235,58,29.37,213,110.32,-,1,1,-,19,10
B McMullen (SPR),2024-2024,9,9,-,201,53,22.33,161,124.84,-,1,1,-,10,11
D Khanal (KAY),2024-2024,9,9,-,116,53,12.88,140,82.85,-,1,1,2,9,4
JDS Neesham (JAB),2024-2024,9,9,2,247,65,35.28,126,196.03,-,1,1,-,14,23
