player,span,matches_played,innings_batted,not_out,runs,highest_inns_score,batting_average,balls_faced,strike_rate,hundreds_scored,fifties_scored,ducks_scored,boundary_fours,boundary_sixes
BKEL Milantha (JAB),2024-2024,10,10,1,293,87,32.55,224,130.8,-,2,-,35,9
RS Bopara (CHR),2024-2024,8,8,1,286,59,40.85,211,135.54,-,3,-,24,11
RK Paudel (LUL),2024-2024,7,7,-,279,95,39.85,212,131.6,-,2,-,26,11
SA Zaib (SPR),2024-2024,9,9,-,275,90,30.55,202,136.13,-,2,-,24,12
JDS Neesham (JAB),2024-2024,9,9,2,247,65,35.28,126,196.03,-,1,-,14,23
B Bhandari (SPR),2024-2024,9,9,1,235,58,29.37,213,110.32,-,1,-,19,10
DS Airee (SPR),2024-2024,9,9,3,227,57,37.83,141,160.99,-,1,1,15,12
AGS Gous (POA),2024-2024,6,6,1,224,104,44.8,136,164.7,1,-,1,30,9
Kushal Malla (CHR),2024-2024,8,8,-,223,72,27.87,184,121.19,-,1,-,11,15
B McMullen (SPR),2024-2024,9,9,-,201,53,22.33,161,124.84,-,1,-,10,11
WG Bosisto (KAY),2024-2024,7,6,1,194,66,38.8,163,119.01,-,2,-,13,8
CAK Walton (KAY),2024-2024,9,9,1,183,46,22.87,152,120.39,-,-,-,18,8
Basir Ahamad (BIK),2024-2024,7,7,2,181,68,36.2,147,123.12,-,1,-,11,7
TJ Moores (LUL),2024-2024,7,7,-,165,45,23.57,130,126.92,-,-,-,10,9
D Kharel (POA),2024-2024,7,7,1,162,61,27,142,114.08,-,1,-,17,8
Aasif Sheikh (JAB),2024-2024,10,10,-,162,36,16.2,151,107.28,-,-,1,17,5
RA Reifer (POA),2024-2024,7,6,2,146,41,36.5,136,107.35,-,-,-,7,7
H Thaker (JAB),2024-2024,10,9,4,138,30,27.6,147,93.87,-,-,-,9,3
MJ Guptill (BIK),2024-2024,6,6,-,137,55,22.83,114,120.17,-,1,1,15,5
S Dhawan (KAY),2024-2024,4,4,1,136,72,45.33,111,122.52,-,1,-,12,6
SS Eskinazi (KAG),2024-2024,7,7,-,133,60,19,115,115.65,-,1,-,19,1
AK Sah (JAB),2024-2024,7,7,1,132,62,22,111,118.91,-,1,1,10,7
Gulsan Jha (KAY),2024-2024,9,9,2,132,49,18.85,120,110,-,-,2,7,9
Lokesh Bam (BIK),2024-2024,7,7,-,131,71,18.71,96,136.45,-,1,1,8,10
I Pandey (SPR),2024-2024,9,7,2,128,38,25.6,112,114.28,-,-,-,13,3
Hassan Eisakhil (CHR),2024-2024,6,6,-,125,65,20.83,96,130.2,-,1,-,13,6
S Jora (LUL),2024-2024,7,7,1,120,26,20,115,104.34,-,-,-,6,5
D Khanal (KAY),2024-2024,9,9,-,116,53,12.88,140,82.85,-,1,2,9,4
MG Erasmus (KAG),2024-2024,7,7,1,110,38,18.33,80,137.5,-,-,-,11,6
S Karki (CHR),2024-2024,8,7,1,108,28,18,111,97.29,-,-,-,8,3
M Levitt (KAG),2024-2024,7,7,-,102,32,14.57,74,137.83,-,-,1,15,4
B Yadav (LUL),2024-2024,6,5,3,100,77,50,72,138.88,-,1,1,3,10
NR Kirton (BIK),2024-2024,7,7,-,93,40,13.28,103,90.29,-,-,1,9,2
S Maharjan (KAG),2024-2024,5,5,1,87,40,21.75,95,91.57,-,-,1,7,1
LM Benkenstein (CHR),2024-2024,5,5,-,85,31,17,77,110.38,-,-,1,6,6
AS Routela (CHR),2024-2024,8,6,2,85,42,21.25,57,149.12,-,-,-,5,5
Zeeshan Maqsood (KAY),2024-2024,9,8,3,85,30,17,90,94.44,-,-,1,9,1
