player,runs_scored,minutes_batted,balls_faced,boundary_fours,boundary_sixes,runs_from_fours_and_sixes,strike_rate,team,opposition,ground,match_date
AGS Gous,104,-,55,12,5,78,189.09,Pokhara,v Lumbini,Kirtipur,06 Dec 2024
RK Paudel,95,-,59,10,4,64,161.01,Lumbini,v Pokhara,Kirtipur,06 Dec 2024
BKEL Milantha,87,-,49,9,4,60,177.55,Janakpur,v S Paschim,Kirtipur,21 Dec 2024
JDS Neesham,65,-,24,5,6,56,270.83,Janakpur,v Chitwan,Kirtipur,14 Dec 2024
BKEL Milantha,75,-,53,9,3,54,141.50,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
SA Zaib,90,-,61,6,5,54,147.54,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
B Yadav,77,-,54,3,7,54,142.59,Lumbini,v S Paschim,Kirtipur,07 Dec 2024
RK Paudel,80,-,57,6,5,54,140.35,Lumbini,v Chitwan,Kirtipur,10 Dec 2024
Kushal Malla,72,-,41,3,7,54,175.60,Chitwan,v Janakpur,Kirtipur,14 Dec 2024
Lokesh Bam,71,-,47,3,6,48,151.06,Biratnagar,v Lumbini,Kirtipur,04 Dec 2024
S Dhawan,72,-,51,4,5,46,141.17,Karnali,v Kathmandu,Kirtipur,04 Dec 2024
SA Zaib,69,-,43,8,2,44,160.46,S Paschim,v Janakpur,Kirtipur,21 Dec 2024
AK Sah,62,-,42,6,3,42,147.61,Janakpur,v Karnali,Kirtipur,02 Dec 2024
DS Airee,57,-,24,3,5,42,237.50,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
Hassan Eisakhil,65,-,52,6,3,42,125.00,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
D Kharel,61,-,46,4,4,40,132.60,Pokhara,v Lumbini,Kirtipur,06 Dec 2024
Basir Ahamad,68,-,44,4,4,40,154.54,Biratnagar,v Chitwan,Kirtipur,13 Dec 2024
SS Eskinazi,60,-,34,10,-,40,176.47,Kathmandu,v Pokhara,Kirtipur,14 Dec 2024
WG Bosisto,66,-,49,5,3,38,134.69,Karnali,v Biratnagar,Kirtipur,07 Dec 2024
JDS Neesham,45,-,17,2,5,38,264.70,Janakpur,v Karnali,Kirtipur,19 Dec 2024
B McMullen,53,-,36,3,4,36,147.22,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
Gulsan Jha,49,-,37,3,4,36,132.43,Karnali,v Pokhara,Kirtipur,10 Dec 2024
JA Kolsawala,53,-,39,6,2,36,135.89,Karnali,v Chitwan,Kirtipur,18 Dec 2024
RS Bopara,53,-,34,3,4,36,155.88,Chitwan,v Karnali,Kirtipur,18 Dec 2024
MJ Guptill,55,-,43,7,1,34,127.90,Biratnagar,v Janakpur,Kirtipur,30 Nov 2024
RS Bopara,59,-,40,7,1,34,147.50,Chitwan,v Karnali,Kirtipur,06 Dec 2024
CAK Walton,46,-,23,4,3,34,200.00,Karnali,v Chitwan,Kirtipur,18 Dec 2024
BKEL Milantha,45,-,32,8,-,32,140.62,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
RS Bopara,51,-,38,3,3,30,134.21,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
JDS Neesham,40,-,20,-,5,30,200.00,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
CAK Walton,42,-,34,6,1,30,123.52,Karnali,v Pokhara,Kirtipur,10 Dec 2024
WG Bosisto,44,-,30,3,3,30,146.66,Karnali,v Lumbini,Kirtipur,13 Dec 2024
D Kharel,38,-,25,6,1,30,152.00,Pokhara,v Kathmandu,Kirtipur,14 Dec 2024
