player,overs,maidens_earned,runs conceded,wickets_taken,bowling_strike_rate,team,opposition,ground,match_date
AS Routela,1.0,-,9,2,3.00,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
WG Bosisto,4.0,-,28,6,4.00,Karnali,v Pokhara,Kirtipur,10 Dec 2024
B Aagri,2.0,-,14,3,4.00,Lumbini,v Karnali,Kirtipur,13 Dec 2024
SC Kuggeleijn,3.4,1,18,5,4.40,S Paschim,v Pokhara,Kirtipur,15 Dec 2024
N Saud,3.5,-,19,5,4.60,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
Sohail Tanvir,4.0,-,21,5,4.80,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
H Thaker,4.0,-,23,5,4.80,Janakpur,v Lumbini,Kirtipur,08 Dec 2024
Pratis GC,4.0,1,17,4,6.00,Biratnagar,v Karnali,Kirtipur,07 Dec 2024
RK Paudel,4.0,-,17,4,6.00,Lumbini,v Chitwan,Kirtipur,10 Dec 2024
K Mahato,4.0,-,35,4,6.00,Janakpur,v S Paschim,Kirtipur,11 Dec 2024
Karan KC,4.0,-,16,4,6.00,Kathmandu,v Lumbini,Kirtipur,11 Dec 2024
Pratis GC,4.0,-,18,4,6.00,Biratnagar,v Pokhara,Kirtipur,12 Dec 2024
A Bohara,3.0,-,17,3,6.00,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
Sohail Tanvir,3.0,1,6,3,6.00,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
R Dhakal,3.0,1,10,3,6.00,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
Bipin Khatri,3.0,-,19,3,6.00,Pokhara,v Kathmandu,Kirtipur,14 Dec 2024
K Mahato,3.0,-,25,3,6.00,Janakpur,v S Paschim,Kirtipur,21 Dec 2024
I Pandey,2.0,-,11,2,6.00,S Paschim,v Janakpur,Kirtipur,11 Dec 2024
S Malla,3.3,-,11,3,7.00,Janakpur,v Kathmandu,Kirtipur,12 Dec 2024
