player,overs,maidens_earned,runs conceded,wickets taken,economy_rate,team,opposition,ground,match_date
B Yadav,3.5,-,64,1,16.69,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
H Thaker,4.0,-,45,1,11.25,Janakpur,v Karnali,Kirtipur,02 Dec 2024
R Dhakal,4.0,-,44,-,11.00,Chitwan,v Karnali,Kirtipur,18 Dec 2024
JDS Neesham,4.0,-,44,1,11.00,Janakpur,v S Paschim,Kirtipur,21 Dec 2024
Pratis GC,4.0,-,43,-,10.75,Biratnagar,v S Paschim,Kirtipur,03 Dec 2024
Rashid Khan,4.0,-,43,3,10.75,Kathmandu,v Pokhara,Kirtipur,14 Dec 2024
SC Kuggeleijn,3.0,-,43,1,14.33,S Paschim,v Janakpur,Kirtipur,21 Dec 2024
Kushal Malla,4.0,-,42,1,10.50,Chitwan,v Lumbini,Kirtipur,10 Dec 2024
D Gupta,3.0,-,41,-,13.66,Lumbini,v Pokhara,Kirtipur,06 Dec 2024
Karan KC,4.0,-,40,1,10.00,Kathmandu,v S Paschim,Kirtipur,05 Dec 2024
RR Simmonds,4.0,-,40,1,10.00,Lumbini,v Karnali,Kirtipur,13 Dec 2024
R Dhakal,4.0,-,40,2,10.00,Chitwan,v Biratnagar,Kirtipur,13 Dec 2024
K Mahato,3.0,-,40,-,13.33,Janakpur,v Chitwan,Kirtipur,14 Dec 2024
DS Airee,4.0,-,40,1,10.00,S Paschim,v Janakpur,Kirtipur,21 Dec 2024
Mohammad Mohsin,4.0,-,40,3,10.00,Janakpur,v S Paschim,Kirtipur,21 Dec 2024
RA Reifer,4.0,-,38,2,9.50,Pokhara,v Chitwan,Kirtipur,03 Dec 2024
A Bohara,4.0,-,38,-,9.50,S Paschim,v Chitwan,Kirtipur,08 Dec 2024
Basil Hameed,2.0,-,38,-,19.00,Chitwan,v Janakpur,Kirtipur,14 Dec 2024
JDS Neesham,4.0,-,37,1,9.25,Janakpur,v Karnali,Kirtipur,02 Dec 2024
CB Sole,4.0,-,37,1,9.25,Biratnagar,v S Paschim,Kirtipur,03 Dec 2024
LM Benkenstein,4.0,-,37,3,9.25,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
S Dhakal,4.0,-,37,-,9.25,Pokhara,v Kathmandu,Kirtipur,14 Dec 2024
JDS Neesham,3.0,-,37,1,12.33,Janakpur,v Chitwan,Kirtipur,14 Dec 2024
S Vesawkar,4.0,-,37,1,9.25,Chitwan,v Karnali,Kirtipur,18 Dec 2024
LN Rajbanshi,4.0,-,37,1,9.25,Janakpur,v S Paschim,Kirtipur,18 Dec 2024
S Lamichhane,4.0,-,36,-,9.00,Biratnagar,v Karnali,Kirtipur,07 Dec 2024
A Bohara,3.0,-,36,-,12.00,S Paschim,v Pokhara,Kirtipur,15 Dec 2024
Ismat Alam,3.0,-,35,1,11.66,Biratnagar,v S Paschim,Kirtipur,03 Dec 2024
Saad Bin Zafar,4.0,-,35,2,8.75,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
Surya Tamang,4.0,-,35,-,8.75,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
R Dhakal,3.5,-,35,-,9.13,Chitwan,v Karnali,Kirtipur,06 Dec 2024
Aakash Chand,4.0,-,35,-,8.75,Pokhara,v Lumbini,Kirtipur,06 Dec 2024
B Yadav,3.0,-,35,1,11.66,Lumbini,v S Paschim,Kirtipur,07 Dec 2024
K Mahato,4.0,-,35,4,8.75,Janakpur,v S Paschim,Kirtipur,11 Dec 2024
Sompal Kami,4.0,-,34,1,8.50,Karnali,v Kathmandu,Kirtipur,04 Dec 2024
CB Sole,4.0,-,34,-,8.50,Biratnagar,v Lumbini,Kirtipur,04 Dec 2024
NA Sowter,3.0,-,34,-,11.33,Kathmandu,v S Paschim,Kirtipur,05 Dec 2024
K Mahato,3.0,-,34,-,11.33,Janakpur,v Karnali,Kirtipur,19 Dec 2024
Zeeshan Maqsood,4.0,-,33,1,8.25,Karnali,v Janakpur,Kirtipur,02 Dec 2024
Sompal Kami,3.0,-,33,-,11.00,Karnali,v Janakpur,Kirtipur,02 Dec 2024
RR Simmonds,4.0,-,33,2,8.25,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
MA Leask,4.0,-,33,-,8.25,Pokhara,v Lumbini,Kirtipur,06 Dec 2024
SA Zaib,4.0,-,33,3,8.25,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
S Malla,4.0,-,33,1,8.25,Janakpur,v Lumbini,Kirtipur,08 Dec 2024
R Dhakal,3.0,-,33,2,11.00,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
RA Reifer,4.0,-,33,2,8.25,Pokhara,v Biratnagar,Kirtipur,12 Dec 2024
A Yadav,4.0,-,33,1,8.25,Janakpur,v Kathmandu,Kirtipur,12 Dec 2024
Sohail Tanvir,4.0,-,33,1,8.25,Chitwan,v Biratnagar,Kirtipur,13 Dec 2024
Mohammad Mohsin,3.3,-,33,-,9.42,Janakpur,v S Paschim,Kirtipur,18 Dec 2024
H Thaker,3.0,1,33,-,11.00,Janakpur,v S Paschim,Kirtipur,21 Dec 2024
NA Sowter,4.0,-,32,1,8.00,Kathmandu,v Karnali,Kirtipur,04 Dec 2024
NK Yadav,3.3,-,32,1,9.14,Karnali,v Kathmandu,Kirtipur,04 Dec 2024
K Mahato,4.0,-,32,1,8.00,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
M Levitt,3.0,-,32,-,10.66,Kathmandu,v S Paschim,Kirtipur,05 Dec 2024
RR Simmonds,4.0,-,32,2,8.00,Lumbini,v S Paschim,Kirtipur,07 Dec 2024
DS Airee,4.0,-,32,1,8.00,S Paschim,v Chitwan,Kirtipur,08 Dec 2024
LN Rajbanshi,4.0,-,32,-,8.00,Janakpur,v S Paschim,Kirtipur,11 Dec 2024
K Bhurtel,4.0,-,32,1,8.00,Pokhara,v Biratnagar,Kirtipur,12 Dec 2024
SC Kuggeleijn,4.0,-,32,1,8.00,S Paschim,v Janakpur,Kirtipur,18 Dec 2024
Harmeet Singh,4.0,-,32,-,8.00,S Paschim,v Janakpur,Kirtipur,21 Dec 2024
CB Sole,3.0,-,31,1,10.33,Biratnagar,v Janakpur,Kirtipur,30 Nov 2024
S Lamichhane,4.0,-,31,-,7.75,Biratnagar,v S Paschim,Kirtipur,03 Dec 2024
Gulsan Jha,3.0,-,31,1,10.33,Karnali,v Kathmandu,Kirtipur,04 Dec 2024
LN Rajbanshi,4.0,-,31,3,7.75,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
Sompal Kami,4.0,-,31,1,7.75,Karnali,v Chitwan,Kirtipur,06 Dec 2024
Aqib Ilyas,4.0,-,31,1,7.75,Biratnagar,v Karnali,Kirtipur,07 Dec 2024
B Yadav,3.0,-,31,-,10.33,Lumbini,v Chitwan,Kirtipur,10 Dec 2024
Abhishesh Gautam,4.0,-,31,1,7.75,Lumbini,v Chitwan,Kirtipur,10 Dec 2024
S Lamichhane,4.0,-,30,-,7.50,Biratnagar,v Janakpur,Kirtipur,30 Nov 2024
SC Kuggeleijn,4.0,-,30,3,7.50,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
RA Reifer,4.0,-,30,-,7.50,Pokhara,v Lumbini,Kirtipur,06 Dec 2024
Surya Tamang,3.5,-,30,-,7.82,Lumbini,v Pokhara,Kirtipur,06 Dec 2024
R Kumar,4.0,-,30,1,7.50,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
CB Sole,4.0,-,30,2,7.50,Biratnagar,v Pokhara,Kirtipur,12 Dec 2024
Bipin Khatri,3.0,-,30,-,10.00,Pokhara,v Biratnagar,Kirtipur,12 Dec 2024
R Kumar,3.0,-,30,-,10.00,Chitwan,v Biratnagar,Kirtipur,13 Dec 2024
WG Bosisto,4.0,-,30,-,7.50,Karnali,v S Paschim,Kirtipur,16 Dec 2024
JDS Neesham,4.0,-,30,2,7.50,Janakpur,v Karnali,Kirtipur,19 Dec 2024
BWM Mike,3.0,-,29,1,9.66,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
D Kandel,4.0,-,29,-,7.25,Kathmandu,v Chitwan,Kirtipur,02 Dec 2024
MG Erasmus,4.0,-,29,2,7.25,Kathmandu,v Karnali,Kirtipur,04 Dec 2024
A Kharel,2.0,-,29,-,14.50,Biratnagar,v Lumbini,Kirtipur,04 Dec 2024
JDS Neesham,4.0,-,29,2,7.25,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
B McMullen,4.0,-,29,1,7.25,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
MJJ Critchley,3.0,-,29,1,9.66,Pokhara,v Lumbini,Kirtipur,06 Dec 2024
N Saud,3.0,-,29,-,9.66,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
SC Kuggeleijn,4.0,-,29,2,7.25,S Paschim,v Chitwan,Kirtipur,08 Dec 2024
R Dhakal,4.0,-,29,3,7.25,Chitwan,v Lumbini,Kirtipur,10 Dec 2024
A Kharel,3.0,-,29,-,9.66,Biratnagar,v Pokhara,Kirtipur,12 Dec 2024
D Kandel,3.0,-,29,1,9.66,Kathmandu,v Janakpur,Kirtipur,12 Dec 2024
Saad Bin Zafar,4.0,-,29,1,7.25,Lumbini,v Karnali,Kirtipur,13 Dec 2024
S Dhakal,4.0,-,29,1,7.25,Pokhara,v S Paschim,Kirtipur,15 Dec 2024
SC Kuggeleijn,4.0,-,29,2,7.25,S Paschim,v Karnali,Kirtipur,16 Dec 2024
DS Airee,4.0,-,29,3,7.25,S Paschim,v Janakpur,Kirtipur,18 Dec 2024
LN Rajbanshi,4.0,-,28,3,7.00,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
K Mahato,4.0,-,28,1,7.00,Janakpur,v Karnali,Kirtipur,02 Dec 2024
Bipin Khatri,3.0,-,28,2,9.33,Pokhara,v Chitwan,Kirtipur,03 Dec 2024
Rashid Khan,4.0,-,28,-,7.00,Kathmandu,v Karnali,Kirtipur,04 Dec 2024
Basir Ahamad,3.0,-,28,-,9.33,Biratnagar,v Lumbini,Kirtipur,04 Dec 2024
Shahab Alam,4.0,-,28,1,7.00,Kathmandu,v S Paschim,Kirtipur,05 Dec 2024
