player,Span,matches_played,innings,catches,Maximum_innings_catches,Catches_per_innings
AK Sah (JAB),2024-2024,7,7,12,5,1.714
B McMullen (SPR),2024-2024,9,9,10,2,1.111
NB Budayair (SPR),2024-2024,9,9,9,3,1
Saad Bin Zafar (LUL),2024-2024,7,7,6,2,0.857
Gulsan Jha (KAY),2024-2024,9,9,6,4,0.666
JDS Neesham (JAB),2024-2024,9,9,6,2,0.666
I Pandey (SPR),2024-2024,9,9,6,2,0.666
S Jora (LUL),2024-2024,7,7,5,3,0.714
A Yadav (JAB),2024-2024,5,5,4,3,0.8
Pratis GC (BIK),2024-2024,6,6,4,2,0.666
Basir Ahamad (BIK),2024-2024,7,7,4,1,0.571
Bipin Khatri (POA),2024-2024,7,7,4,1,0.571
M Levitt (KAG),2024-2024,7,7,4,2,0.571
Aasif Sheikh (JAB),2024-2024,10,8,4,2,0.5
D Khanal (KAY),2024-2024,9,9,4,1,0.444
SC Kuggeleijn (SPR),2024-2024,9,9,4,1,0.444
J Tromp (JAB),2024-2024,1,1,3,3,3
JN Loftie-Eaton (CHR),2024-2024,3,3,3,1,1
D Bohara (BIK),2024-2024,6,6,3,3,0.5
Deepak Bohara (CHR),2024-2024,6,6,3,1,0.5
B Yadav (LUL),2024-2024,6,6,3,2,0.5
K Bhurtel (POA),2024-2024,7,7,3,3,0.428
WG Bosisto (KAY),2024-2024,7,7,3,2,0.428
S Dhakal (POA),2024-2024,7,7,3,1,0.428
RK Paudel (LUL),2024-2024,7,7,3,1,0.428
Shahab Alam (KAG),2024-2024,7,7,3,2,0.428
B Sharki (KAG),2024-2024,7,7,3,2,0.428
RR Simmonds (LUL),2024-2024,7,7,3,2,0.428
CB Sole (BIK),2024-2024,7,7,3,2,0.428
R Dhakal (CHR),2024-2024,8,8,3,2,0.375
DS Airee (SPR),2024-2024,9,9,3,1,0.333
Mohammad Mohsin (JAB),2024-2024,9,9,3,1,0.333
NK Yadav (KAY),2024-2024,9,9,3,2,0.333
LN Rajbanshi (JAB),2024-2024,10,10,3,2,0.3
UBT Chand (LUL),2024-2024,4,3,2,1,0.666
Abhishesh Gautam (LUL),2024-2024,4,4,2,1,0.5
DA Douthwaite (KAG),2024-2024,4,4,2,2,0.5
S Vesawkar (CHR),2024-2024,4,4,2,1,0.5
