player,span,matches_played,innings_bowled,balls,maidens_earned,conceded,wickets,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,five_wickets,ten_wickets,catches,stumpings
B Aagri,2024-2024,1,1,12,-,14,3,3/14,4.66,7.00,4.0,-,-,-,-
Lumbini Lions (NPL),,,,,,,,,,,,,,,
Aakash Chand,2024-2024,4,3,42,-,74,-,-,-,10.57,-,-,-,-,-
Pokhara Avengers (NPL),,,,,,,,,,,,,,,
Aarif Sheikh,2024-2024,9,-,0,-,-,-,-,-,-,-,-,-,2,-
Sudur Paschim Royals (NPL),,,,,,,,,,,,,,,
Aasif Sheikh,2024-2024,10,-,0,-,-,-,-,-,-,-,-,-,6,-
Janakpur Bolts (NPL),,,,,,,,,,,,,,,
Abhishesh Gautam,2024-2024,4,4,96,-,78,6,3/20,13.00,4.87,16.0,-,-,2,-
Lumbini Lions (NPL),,,,,,,,,,,,,,,
D Adhikari,2024-2024,2,2,12,-,31,-,-,-,15.50,-,-,-,-,-
Lumbini Lions (NPL),,,,,,,,,,,,,,,
DS Airee,2024-2024,9,7,150,-,175,9,3/29,19.44,7.00,16.6,-,-,3,-
Sudur Paschim Royals (NPL),,,,,,,,,,,,,,,
Aqib Ilyas,2024-2024,2,2,42,-,50,1,1/31,50.00,7.14,42.0,-,-,-,-
Biratnagar Kings (NPL),,,,,,,,,,,,,,,
S Aryal,2024-2024,1,1,12,-,19,-,-,-,9.50,-,-,-,1,-
Pokhara Avengers (NPL),,,,,,,,,,,,,,,
Babar Hayat,2024-2024,5,-,0,-,-,-,-,-,-,-,-,-,1,-
Karnali Yaks (NPL),,,,,,,,,,,,,,,
DS Bajwa,2024-2024,1,-,0,-,-,-,-,-,-,-,-,-,-,-
Sudur Paschim Royals (NPL),,,,,,,,,,,,,,,
Basil Hameed,2024-2024,2,2,36,-,53,1,1/15,53.00,8.83,36.0,-,-,-,-
Chitwan Rhinos (NPL),,,,,,,,,,,,,,,
Basir Ahamad,2024-2024,7,6,114,1,123,6,2/22,20.50,6.47,19.0,-,-,4,-
Biratnagar Kings (NPL),,,,,,,,,,,,,,,
LM Benkenstein,2024-2024,5,3,48,-,68,4,3/37,17.00,8.50,12.0,-,-,2,-
Chitwan Rhinos (NPL),,,,,,,,,,,,,,,
B Bhandari,2024-2024,9,-,0,-,-,-,-,-,-,-,-,-,1,3
Sudur Paschim Royals (NPL),,,,,,,,,,,,,,,
TR Bhandari,2024-2024,1,1,24,-,23,2,2/23,11.50,5.75,12.0,-,-,-,-
Lumbini Lions (NPL),,,,,,,,,,,,,,,
N Bhatta,2024-2024,2,-,0,-,-,-,-,-,-,-,-,-,-,-
Biratnagar Kings (NPL),,,,,,,,,,,,,,,
K Bhurtel,2024-2024,7,6,85,-,113,5,2/27,22.60,7.97,17.0,-,-,3,-
Pokhara Avengers (NPL),,,,,,,,,,,,,,,
Bipin Khatri,2024-2024,7,7,108,1,133,9,3/19,14.77,7.38,12.0,-,-,4,-
Pokhara Avengers (NPL),,,,,,,,,,,,,,,
A Bohara,2024-2024,9,8,138,1,173,7,3/17,24.71,7.52,19.7,-,-,2,-
Sudur Paschim Royals (NPL),,,,,,,,,,,,,,,
D Bohara,2024-2024,6,-,0,-,-,-,-,-,-,-,-,-,3,-
Biratnagar Kings (NPL),,,,,,,,,,,,,,,
RS Bopara,2024-2024,8,4,54,-,58,2,1/8,29.00,6.44,27.0,-,-,2,-
Chitwan Rhinos (NPL),,,,,,,,,,,,,,,
WG Bosisto,2024-2024,7,7,144,1,164,9,6/28,18.22,6.83,16.0,1,-,3,-
Karnali Yaks (NPL),,,,,,,,,,,,,,,
NB Budayair,2024-2024,9,-,0,-,-,-,-,-,-,-,-,-,9,-
Sudur Paschim Royals (NPL),,,,,,,,,,,,,,,
UBT Chand,2024-2024,4,-,0,-,-,-,-,-,-,-,-,-,2,-
Lumbini Lions (NPL),,,,,,,,,,,,,,,
MJJ Critchley,2024-2024,4,4,54,-,96,1,1/29,96.00,10.66,54.0,-,-,1,-
Pokhara Avengers (NPL),,,,,,,,,,,,,,,
BCJ Cutting,2024-2024,3,-,0,-,-,-,-,-,-,-,-,-,1,-
Lumbini Lions (NPL),,,,,,,,,,,,,,,
TR Das,2024-2024,1,-,0,-,-,-,-,-,-,-,-,-,-,-
Pokhara Avengers (NPL),,,,,,,,,,,,,,,
Deepak Bohara,2024-2024,6,1,8,-,9,1,1/9,9.00,6.75,8.0,-,-,3,-
Chitwan Rhinos (NPL),,,,,,,,,,,,,,,
BFW de Leede,2024-2024,1,1,24,-,20,2,2/20,10.00,5.00,12.0,-,-,-,-
Pokhara Avengers (NPL),,,,,,,,,,,,,,,
R Dhakal,2024-2024,8,8,173,1,232,13,3/10,17.84,8.04,13.3,-,-,3,-
Chitwan Rhinos (NPL),,,,,,,,,,,,,,,
S Dhakal,2024-2024,7,7,150,-,164,5,2/15,32.80,6.56,30.0,-,-,3,-
Pokhara Avengers (NPL),,,,,,,,,,,,,,,
SM Dhakal,2024-2024,1,1,13,-,25,1,1/25,25.00,11.53,13.0,-,-,-,-
Karnali Yaks (NPL),,,,,,,,,,,,,,,
H Dhami,2024-2024,2,-,0,-,-,-,-,-,-,-,-,-,-,-
Janakpur Bolts (NPL),,,,,,,,,,,,,,,
S Dhawan,2024-2024,4,-,0,-,-,-,-,-,-,-,-,-,1,-
Karnali Yaks (NPL),,,,,,,,,,,,,,,
DA Douthwaite,2024-2024,4,3,41,-,50,2,1/14,25.00,7.31,20.5,-,-,2,-
Kathmandu Gurkhas (NPL),,,,,,,,,,,,,,,
SA Edwards,2024-2024,3,-,0,-,-,-,-,-,-,-,-,-,2,-
Biratnagar Kings (NPL),,,,,,,,,,,,,,,
MG Erasmus,2024-2024,7,7,151,-,131,11,3/17,11.90,5.20,13.7,-,-,1,-
Kathmandu Gurkhas (NPL),,,,,,,,,,,,,,,
SS Eskinazi,2024-2024,7,-,0,-,-,-,-,-,-,-,-,-,1,2
Kathmandu Gurkhas (NPL),,,,,,,,,,,,,,,
A Gharti,2024-2024,9,-,0,-,-,-,-,-,-,-,-,-,2,-
Karnali Yaks (NPL),,,,,,,,,,,,,,,
A Ghiraiya,2024-2024,6,-,0,-,-,-,-,-,-,-,-,-,1,-
Lumbini Lions (NPL),,,,,,,,,,,,,,,
AP Gomel,2024-2024,1,1,6,-,13,-,-,-,13.00,-,-,-,-,-
Pokhara Avengers (NPL),,,,,,,,,,,,,,,
AGS Gous,2024-2024,6,-,0,-,-,-,-,-,-,-,-,-,1,2
Pokhara Avengers (NPL),,,,,,,,,,,,,,,
Gulsan Jha,2024-2024,9,4,48,-,63,1,1/31,63.00,7.87,48.0,-,-,6,-
Karnali Yaks (NPL),,,,,,,,,,,,,,,
D Gupta,2024-2024,5,4,66,-,104,3,3/21,34.66,9.45,22.0,-,-,1,-
Lumbini Lions (NPL),,,,,,,,,,,,,,,
MJ Guptill,2024-2024,6,-,0,-,-,-,-,-,-,-,-,-,2,-
Biratnagar Kings (NPL),,,,,,,,,,,,,,,
Harmeet Singh,2024-2024,5,5,120,2,90,8,3/17,11.25,4.50,15.0,-,-,-,-
Sudur Paschim Royals (NPL),,,,,,,,,,,,,,,
Hassan Eisakhil,2024-2024,6,-,0,-,-,-,-,-,-,-,-,-,2,-
Chitwan Rhinos (NPL),,,,,,,,,,,,,,,
Ismat Alam,2024-2024,3,3,42,-,72,2,1/21,36.00,10.28,21.0,-,-,-,-
Biratnagar Kings (NPL),,,,,,,,,,,,,,,
S Jora,2024-2024,7,2,18,-,22,1,1/13,22.00,7.33,18.0,-,-,5,-
Lumbini Lions (NPL),,,,,,,,,,,,,,,
N Joshi,2024-2024,6,2,12,-,31,-,-,-,15.50,-,-,-,-,-
Pokhara Avengers (NPL),,,,,,,,,,,,,,,
D Kandel,2024-2024,6,5,96,-,87,7,3/6,12.42,5.43,13.7,-,-,1,-
Kathmandu Gurkhas (NPL),,,,,,,,,,,,,,,
S Kansakar,2024-2024,10,-,0,-,-,-,-,-,-,-,-,-,-,-
Janakpur Bolts (NPL),,,,,,,,,,,,,,,
Karan KC,2024-2024,7,7,143,-,152,12,4/16,12.66,6.37,11.9,-,-,1,-
Kathmandu Gurkhas (NPL),,,,,,,,,,,,,,,
B Karki,2024-2024,2,2,30,-,39,-,-,-,7.80,-,-,-,-,-
Karnali Yaks (NPL),,,,,,,,,,,,,,,
S Karki,2024-2024,8,-,0,-,-,-,-,-,-,-,-,-,2,-
Chitwan Rhinos (NPL),,,,,,,,,,,,,,,
D Khanal,2024-2024,9,1,12,-,22,-,-,-,11.00,-,-,-,4,-
Karnali Yaks (NPL),,,,,,,,,,,,,,,
A Kharel,2024-2024,5,5,84,-,123,5,3/26,24.60,8.78,16.8,-,-,1,-
Biratnagar Kings (NPL),,,,,,,,,,,,,,,
D Kharel,2024-2024,7,2,7,-,15,1,1/9,15.00,12.85,7.0,-,-,-,-
Pokhara Avengers (NPL),,,,,,,,,,,,,,,
B Khatri,2024-2024,2,1,6,-,12,-,-,-,12.00,-,-,-,1,-
Sudur Paschim Royals (NPL),,,,,,,,,,,,,,,
NR Kirton,2024-2024,7,3,21,-,29,-,-,-,8.28,-,-,-,2,-
