player,span,matches_played,innings_bowled,balls,maidens_earned,conceded,wickets,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,five_wickets,ten_wickets,catches,stumpings
Deepak Bohara,2024-2024,6,1,1.2,-,9,1,1/9,9.00,6.75,8.0,-,-,3,-
Sohail Tanvir,2024-2024,8,8,30.2,1,174,14,5/21,12.42,5.73,13.0,1,-,1,-
LM Benkenstein,2024-2024,5,3,8.0,-,68,4,3/37,17.00,8.50,12.0,-,-,2,-
AS Routela,2024-2024,8,5,9.0,-,70,4,2/9,17.50,7.77,13.5,-,-,1,-
R Dhakal,2024-2024,8,8,28.5,1,232,13,3/10,17.84,8.04,13.3,-,-,3,-
JN Loftie-Eaton,2024-2024,3,3,8.0,-,56,3,2/18,18.66,7.00,16.0,-,-,3,-
Kushal Malla,2024-2024,8,8,27.0,-,176,9,2/18,19.55,6.51,18.0,-,-,2,-
RS Bopara,2024-2024,8,4,9.0,-,58,2,1/8,29.00,6.44,27.0,-,-,2,-
Basil Hameed,2024-2024,2,2,6.0,-,53,1,1/15,53.00,8.83,36.0,-,-,-,-
S Vesawkar,2024-2024,4,2,6.0,-,53,1,1/37,53.00,8.83,36.0,-,-,2,-
R Kumar,2024-2024,5,5,14.0,-,120,2,1/26,60.00,8.57,42.0,-,-,2,-
NB Sarki,2024-2024,1,1,2.0,-,18,0,-,-,9.00,-,-,-,-,-
Hassan Eisakhil,2024-2024,6,-,0.0,-,-,0,-,-,-,-,-,-,2,-
S Karki,2024-2024,8,-,0.0,-,-,0,-,-,-,-,-,-,2,-
B Rawal,2024-2024,8,-,0.0,-,-,0,-,-,-,-,-,-,5,-
