player,span,matches_played,innings_bowled,balls,maidens_earned,conceded,wickets,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,five_wickets,ten_wickets,catches,stumpings
LN Rajbanshi,2024-2024,10,10,40.0,5,213,17,3/8,12.52,5.32,14.1,-,-,3,-
Mohammad Mohsin,2024-2024,9,9,34.3,2,200,12,3/40,16.66,5.79,17.2,-,-,3,-
H Thaker,2024-2024,10,9,31.0,2,197,11,5/23,17.90,6.35,16.9,1,-,2,-
S Malla,2024-2024,8,7,19.3,-,132,7,3/11,18.85,6.76,16.7,-,-,1,-
K Mahato,2024-2024,10,10,33.0,1,265,14,4/35,18.92,8.03,14.1,-,-,1,-
A Yadav,2024-2024,5,3,8.0,-,69,3,2/16,23.00,8.62,16.0,-,-,4,-
BWM Mike,2024-2024,1,1,3.0,-,29,1,1/29,29.00,9.66,18.0,-,-,-,-
JDS Neesham,2024-2024,9,9,26.0,-,233,7,2/29,33.28,8.96,22.2,-,-,6,-
TB Thapa,2024-2024,3,2,2.0,-,19,0,-,-,9.50,-,-,-,1,-
Aasif Sheikh,2024-2024,10,-,0.0,-,-,0,-,-,-,-,-,-,6,-
H Dhami,2024-2024,2,-,0.0,-,-,0,-,-,-,-,-,-,-,-
S Kansakar,2024-2024,10,-,0.0,-,-,0,-,-,-,-,-,-,-,-
Mayan Yadav,2024-2024,2,-,0.0,-,-,0,-,-,-,-,-,-,-,-
BKEL Milantha,2024-2024,10,-,0.0,-,-,0,-,-,-,-,-,-,1,4
AK Sah,2024-2024,7,-,0.0,-,-,0,-,-,-,-,-,-,12,-
A Tripathi,2024-2024,3,-,0.0,-,-,0,-,-,-,-,-,-,1,-
J Tromp,2024-2024,1,-,0.0,-,-,0,-,-,-,-,-,-,3,-
