player,span,matches_played,innings_bowled,balls,maidens_earned,conceded,wickets,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,five_wickets,ten_wickets,catches,stumpings
BP Sharma,2024-2024,8,8,29.0,2,171,13,3/17,13.15,5.89,13.3,-,-,-,-
Zeeshan Maqsood,2024-2024,9,9,33.0,-,177,10,3/26,17.70,5.36,19.8,-,-,-,-
WG Bosisto,2024-2024,7,7,24.0,1,164,9,6/28,18.22,6.83,16.0,1,-,3,-
NK Yadav,2024-2024,9,8,23.3,1,177,9,3/19,19.66,7.53,15.6,-,-,3,-
SM Dhakal,2024-2024,1,1,2.1,-,25,1,1/25,25.00,11.53,13.0,-,-,-,-
Sompal Kami,2024-2024,9,9,29.5,1,240,9,2/22,26.66,8.04,19.8,-,-,2,-
UBS Thakuri,2024-2024,5,5,9.0,-,64,2,1/17,32.00,7.11,27.0,-,-,1,-
Gulsan Jha,2024-2024,9,4,8.0,-,63,1,1/31,63.00,7.87,48.0,-,-,6,-
D Khanal,2024-2024,9,1,2.0,-,22,0,-,-,11.00,-,-,-,4,-
B Karki,2024-2024,2,2,5.0,-,39,0,-,-,7.80,-,-,-,-,-
Babar Hayat,2024-2024,5,-,0.0,-,-,0,-,-,-,-,-,-,1,-
S Dhawan,2024-2024,4,-,0.0,-,-,0,-,-,-,-,-,-,1,-
A Gharti,2024-2024,9,-,0.0,-,-,0,-,-,-,-,-,-,2,-
JA Kolsawala,2024-2024,2,-,0.0,-,-,0,-,-,-,-,-,-,-,-
Rit Gautam,2024-2024,2,-,0.0,-,-,0,-,-,-,-,-,-,-,-
CAK Walton,2024-2024,9,-,0.0,-,-,0,-,-,-,-,-,-,4,-
