player,span,matches_played,innings_bowled,balls,maidens_earned,conceded,wickets,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,five_wickets,ten_wickets,catches,stumpings
B Aagri,2024-2024,1,1,2.0,-,14,3,3/14,4.66,7.00,4.0,-,-,-,-
TR Bhandari,2024-2024,1,1,4.0,-,23,2,2/23,11.50,5.75,12.0,-,-,-,-
Abhishesh Gautam,2024-2024,4,4,16.0,-,78,6,3/20,13.00,4.87,16.0,-,-,2,-
RK Paudel,2024-2024,7,6,19.0,-,107,8,4/17,13.37,5.63,14.2,-,-,3,-
Saad Bin Zafar,2024-2024,7,7,25.0,-,171,9,3/21,19.00,6.84,16.6,-,-,6,-
RR Simmonds,2024-2024,7,7,24.2,-,194,9,2/21,21.55,7.97,16.2,-,-,3,-
S Jora,2024-2024,7,2,3.0,-,22,1,1/13,22.00,7.33,18.0,-,-,5,-
D Gupta,2024-2024,5,4,11.0,-,104,3,3/21,34.66,9.45,22.0,-,-,1,-
B Yadav,2024-2024,6,6,14.5,-,171,3,1/9,57.00,11.52,29.6,-,-,3,-
Surya Tamang,2024-2024,4,4,14.5,-,111,1,1/18,111.00,7.48,89.0,-,-,-,-
D Adhikari,2024-2024,2,2,2.0,-,31,0,-,-,15.50,-,-,-,-,-
UBT Chand,2024-2024,4,-,0.0,-,-,0,-,-,-,-,-,-,2,-
BCJ Cutting,2024-2024,3,-,0.0,-,-,0,-,-,-,-,-,-,1,-
A Ghiraiya,2024-2024,6,-,0.0,-,-,0,-,-,-,-,-,-,1,-
TJ Moores,2024-2024,7,-,0.0,-,-,0,-,-,-,-,-,-,-,-
A Saud,2024-2024,6,-,0.0,-,-,0,-,-,-,-,-,-,1,3
