player,span,matches_played,innings_bowled,balls,maidens_earned,conceded,wickets,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,five_wickets,ten_wickets,catches,stumpings
BFW de Leede,2024-2024,1,1,4.0,-,20,2,2/20,10.00,5.00,12.0,-,-,-,-
Bipin Khatri,2024-2024,7,7,18.0,1,133,9,3/19,14.77,7.38,12.0,-,-,4,-
D Kharel,2024-2024,7,2,1.1,-,15,1,1/9,15.00,12.85,7.0,-,-,-,-
K Bhurtel,2024-2024,7,6,14.1,-,113,5,2/27,22.60,7.97,17.0,-,-,3,-
S Dhakal,2024-2024,7,7,25.0,-,164,5,2/15,32.80,6.56,30.0,-,-,3,-
RA Reifer,2024-2024,7,7,21.0,-,164,5,2/33,32.80,7.80,25.2,-,-,2,-
MA Leask,2024-2024,7,7,22.0,1,156,3,1/17,52.00,7.09,44.0,-,-,1,-
MJJ Critchley,2024-2024,4,4,9.0,-,96,1,1/29,96.00,10.66,54.0,-,-,1,-
AP Gomel,2024-2024,1,1,1.0,-,13,0,-,-,13.00,-,-,-,-,-
S Aryal,2024-2024,1,1,2.0,-,19,0,-,-,9.50,-,-,-,1,-
N Joshi,2024-2024,6,2,2.0,-,31,0,-,-,15.50,-,-,-,-,-
Aakash Chand,2024-2024,4,3,7.0,-,74,0,-,-,10.57,-,-,-,-,-
TR Das,2024-2024,1,-,0.0,-,-,0,-,-,-,-,-,-,-,-
AGS Gous,2024-2024,6,-,0.0,-,-,0,-,-,-,-,-,-,1,2
Z Malik,2024-2024,2,-,0.0,-,-,0,-,-,-,-,-,-,-,-
D Nath,2024-2024,6,-,0.0,-,-,0,-,-,-,-,-,-,-,-
K Thagunna,2024-2024,3,-,0.0,-,-,0,-,-,-,-,-,-,-,-
