player,span,matches_played,innings_bowled,balls,maidens_earned,conceded,wickets,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,five_wickets,ten_wickets,catches,stumpings
Harmeet Singh,2024-2024,5,5,20.0,2,90,8,3/17,11.25,4.50,15.0,-,-,-,-
SC Kuggeleijn,2024-2024,9,9,28.5,1,210,17,5/18,12.35,7.28,10.1,1,-,4,-
SA Zaib,2024-2024,9,9,24.1,-,151,12,3/33,12.58,6.24,12.0,-,-,-,-
I Pandey,2024-2024,9,5,7.0,-,52,4,2/11,13.00,7.42,10.5,-,-,6,-
N Saud,2024-2024,8,7,14.1,-,97,6,5/19,16.16,6.84,14.1,1,-,2,-
DS Airee,2024-2024,9,7,25.0,-,175,9,3/29,19.44,7.00,16.6,-,-,3,-
B McMullen,2024-2024,9,8,19.0,1,129,6,3/21,21.50,6.78,19.0,-,-,10,-
A Bohara,2024-2024,9,8,23.0,1,173,7,3/17,24.71,7.52,19.7,-,-,2,-
Rohan Mustafa,2024-2024,1,1,1.0,-,8,0,-,-,8.00,-,-,-,1,-
B Khatri,2024-2024,2,1,1.0,-,12,0,-,-,12.00,-,-,-,1,-
Aarif Sheikh,2024-2024,9,-,0.0,-,-,0,-,-,-,-,-,-,2,-
DS Bajwa,2024-2024,1,-,0.0,-,-,0,-,-,-,-,-,-,-,-
B Bhandari,2024-2024,9,-,0.0,-,-,0,-,-,-,-,-,-,1,3
NB Budayair,2024-2024,9,-,0.0,-,-,0,-,-,-,-,-,-,9,-
A Shrestha,2024-2024,1,-,0.0,-,-,0,-,-,-,-,-,-,-,-
