player,span,matches_played,innings_batted,not_outs,runs_scored,highest_inns_score,batting_average,batting_strike_rate,hundreds_scored,fifties_scored,ducks_scored
B Aagri,2024-2024,1,-,-,-,-,-,-,-,-,-
Lumbini Lions (NPL),,,,,,,,,,,
Aakash Chand,2024-2024,4,1,-,1,1,1,33.33,-,-,-
Pokhara Avengers (NPL),,,,,,,,,,,
Aarif Sheikh,2024-2024,9,8,2,69,42,11.5,97.18,-,-,1
Sudur Paschim Royals (NPL),,,,,,,,,,,
Aasif Sheikh,2024-2024,10,10,-,162,36,16.2,107.28,-,-,1
Janakpur Bolts (NPL),,,,,,,,,,,
Abhishesh Gautam,2024-2024,4,1,-,-,-,-,-,-,-,1
Lumbini Lions (NPL),,,,,,,,,,,
D Adhikari,2024-2024,2,1,-,14,14,14,87.5,-,-,-
Lumbini Lions (NPL),,,,,,,,,,,
DS Airee,2024-2024,9,9,3,227,57,37.83,160.99,-,1,1
Sudur Paschim Royals (NPL),,,,,,,,,,,
Aqib Ilyas,2024-2024,2,2,-,23,15,11.5,71.87,-,-,-
Biratnagar Kings (NPL),,,,,,,,,,,
S Aryal,2024-2024,1,1,-,-,-,-,-,-,-,1
Pokhara Avengers (NPL),,,,,,,,,,,
Babar Hayat,2024-2024,5,5,-,65,20,13,77.38,-,-,-
Karnali Yaks (NPL),,,,,,,,,,,
DS Bajwa,2024-2024,1,1,-,12,12,12,75,-,-,-
Sudur Paschim Royals (NPL),,,,,,,,,,,
Basil Hameed,2024-2024,2,2,1,3,2,3,50,-,-,-
Chitwan Rhinos (NPL),,,,,,,,,,,
Basir Ahamad,2024-2024,7,7,2,181,68,36.2,123.12,-,1,-
Biratnagar Kings (NPL),,,,,,,,,,,
LM Benkenstein,2024-2024,5,5,-,85,31,17,110.38,-,-,1
Chitwan Rhinos (NPL),,,,,,,,,,,
B Bhandari,2024-2024,9,9,1,235,58,29.37,110.32,-,1,-
Sudur Paschim Royals (NPL),,,,,,,,,,,
TR Bhandari,2024-2024,1,1,1,3,3,-,60,-,-,-
Lumbini Lions (NPL),,,,,,,,,,,
N Bhatta,2024-2024,2,2,-,11,7,5.5,40.74,-,-,-
Biratnagar Kings (NPL),,,,,,,,,,,
