player,matches_played,innings_batted,not_outs,runs,balls_faced,highest_inns_score,batting_average,batting_strike_rate,hundreds_scored,fifties_scored,ducks_scored,boundary_fours,boundary_sixes
Basir Ahamad,7,7,2,181,147,68,36.2,123.12,-,1,-,11,7
MJ Guptill,6,6,-,137,114,55,22.83,120.17,-,1,1,15,5
SA Edwards,3,3,-,60,53,45,20,113.2,-,-,1,6,0
RP Magar,5,5,1,78,72,33,19.5,108.33,-,-,-,2,5
Lokesh Bam,7,7,-,131,96,71,18.71,136.45,-,1,1,8,10
NR Kirton,7,7,-,93,103,40,13.28,90.29,-,-,1,9,2
D Bohara,6,6,1,60,56,20,12,107.14,-,-,-,4,1
Aqib Ilyas,2,2,-,23,32,15,11.5,71.87,-,-,-,3,0
CB Sole,7,6,1,35,27,14,7,129.62,-,-,1,2,3
Pratis GC,6,5,2,20,17,7,6.66,117.64,-,-,-,1,1
Subash Bhandari,3,1,-,6,10,6,6,60,-,-,-,0,0
S Lamichhane,7,5,1,22,20,8,5.5,110,-,-,1,1,1
N Bhatta,2,2,-,11,27,7,5.5,40.74,-,-,-,0,0
Ismat Alam,3,3,-,11,20,6,3.66,55,-,-,1,1,0
JK Mukhiya,1,1,-,-,1,-,-,-,-,-,1,0,0
A Kharel,5,3,3,17,19,10,-,89.47,-,-,-,2,0
