player,matches_played,innings_batted,not_outs,runs,balls_faced,highest_inns_score,batting_average,batting_strike_rate,hundreds_scored,fifties_scored,ducks_scored,boundary_fours,boundary_sixes
RS Bopara,8,8,1,286,211,59,40.85,135.54,-,3,-,24,11
Kushal Malla,8,8,-,223,184,72,27.87,121.19,-,1,-,11,15
R Dhakal,8,2,1,22,18,15,22,122.22,-,-,-,2,0
AS Routela,8,6,2,85,57,42,21.25,149.12,-,-,-,5,5
Hassan Eisakhil,6,6,-,125,96,65,20.83,130.2,-,1,-,13,6
S Karki,8,7,1,108,111,28,18,97.29,-,-,-,8,3
LM Benkenstein,5,5,-,85,77,31,17,110.38,-,-,1,6,6
B Rawal,8,5,-,54,64,18,10.8,84.37,-,-,-,7,0
JN Loftie-Eaton,3,3,1,17,23,9,8.5,73.91,-,-,-,2,0
Deepak Bohara,6,4,1,19,25,8,6.33,76,-,-,-,1,1
Basil Hameed,2,2,1,3,6,2,3,50,-,-,-,0,0
Sohail Tanvir,8,6,2,11,13,5,2.75,84.61,-,-,2,2,0
S Vesawkar,4,4,4,38,46,11,-,82.6,-,-,-,2,0
NB Sarki,1,1,1,22,12,22,-,183.33,-,-,-,1,1
R Kumar,5,1,1,-,0,0,-,-,-,-,-,0,0
