player,matches_played,innings_batted,not_outs,runs,balls_faced,highest_inns_score,batting_average,batting_strike_rate,hundreds_scored,fifties_scored,ducks_scored,boundary_fours,boundary_sixes
JDS Neesham,9,9,2,247,126,65,35.28,196.03,-,1,-,14,23
BKEL Milantha,10,10,1,293,224,87,32.55,130.8,-,2,-,35,9
H Thaker,10,9,4,138,147,30,27.6,93.87,-,-,-,9,3
AK Sah,7,7,1,132,111,62,22,118.91,-,1,1,10,7
Aasif Sheikh,10,10,-,162,151,36,16.2,107.28,-,-,1,17,5
Mayan Yadav,2,2,1,16,21,14,16,76.19,-,-,-,0,0
S Kansakar,10,6,1,71,76,26,14.2,93.42,-,-,1,7,3
J Tromp,1,1,-,13,13,13,13,100,-,-,-,1,1
A Tripathi,3,3,1,19,30,13,9.5,63.33,-,-,-,1,0
H Dhami,2,1,-,9,11,9,9,81.81,-,-,-,1,0
Mohammad Mohsin,9,6,1,42,40,13,8.4,105,-,-,-,5,1
S Malla,8,5,1,24,27,16,6,88.88,-,-,2,0,1
K Mahato,10,4,3,6,21,4,6,28.57,-,-,-,0,0
A Yadav,5,3,-,12,24,11,4,50,-,-,1,0,0
LN Rajbanshi,10,3,-,4,14,4,1.33,28.57,-,-,2,1,0
BWM Mike,1,-,-,-,0,-,-,-,-,-,-,0,0
TB Thapa,3,-,-,-,0,-,-,-,-,-,-,0,0
