player,matches_played,innings_batted,not_outs,runs,balls_faced,highest_inns_score,batting_average,batting_strike_rate,hundreds_scored,fifties_scored,ducks_scored,boundary_fours,boundary_sixes
S Dhawan,4,4,1,136,111,72,45.33,122.52,-,1,-,12,6
WG Bosisto,7,6,1,194,163,66,38.8,119.01,-,2,-,13,8
JA Kolsawala,2,2,-,54,43,53,27,125.58,-,1,-,6,2
CAK Walton,9,9,1,183,152,46,22.87,120.39,-,-,-,18,8
Gulsan Jha,9,9,2,132,120,49,18.85,110,-,-,2,7,9
Sompal Kami,9,6,3,52,34,29,17.33,152.94,-,-,-,5,2
Zeeshan Maqsood,9,8,3,85,90,30,17,94.44,-,-,1,9,1
A Gharti,9,7,1,79,72,33,13.16,109.72,-,-,-,5,3
Babar Hayat,5,5,-,65,84,20,13,77.38,-,-,-,4,3
D Khanal,9,9,-,116,140,53,12.88,82.85,-,1,2,9,4
UBS Thakuri,5,2,-,12,18,12,6,66.66,-,-,1,2,0
NK Yadav,9,5,2,4,16,4,1.33,25,-,-,3,0,0
Rit Gautam,2,2,-,-,4,-,-,-,-,-,2,0,0
BP Sharma,8,2,-,-,3,-,-,-,-,-,2,0,0
SM Dhakal,1,-,-,-,0,-,-,-,-,-,-,0,0
B Karki,2,-,-,-,0,-,-,-,-,-,-,0,0
