player,matches_played,innings_batted,not_outs,runs,balls_faced,highest_inns_score,batting_average,batting_strike_rate,hundreds_scored,fifties_scored,ducks_scored,boundary_fours,boundary_sixes
S Maharjan,5,5,1,87,95,40,21.75,91.57,-,-,1,7,1
SS Eskinazi,7,7,-,133,115,60,19,115.65,-,1,-,19,1
MG Erasmus,7,7,1,110,80,38,18.33,137.5,-,-,-,11,6
P Shrestha,5,4,-,73,65,39,18.25,112.3,-,-,-,3,5
M Levitt,7,7,-,102,74,32,14.57,137.83,-,-,1,15,4
DA Douthwaite,4,4,1,42,52,21,14,80.76,-,-,-,2,2
S Rana,4,4,1,41,51,16,13.66,80.39,-,-,-,3,1
D Kandel,6,4,3,12,9,11,12,133.33,-,-,1,1,1
B Sharki,7,7,-,78,98,31,11.14,79.59,-,-,-,6,1
Karan KC,7,7,-,51,39,28,7.28,130.76,-,-,1,4,3
Shahab Alam,7,6,2,20,28,8,5,71.42,-,-,-,1,1
Rashid Khan,7,7,1,29,53,14,4.83,54.71,-,-,1,1,1
NA Sowter,3,1,1,1,1,1,-,100,-,-,-,0,0
R Rijal,1,-,-,-,0,-,-,-,-,-,-,0,0
