player,matches_played,innings_batted,not_outs,runs,balls_faced,highest_inns_score,batting_average,batting_strike_rate,hundreds_scored,fifties_scored,ducks_scored,boundary_fours,boundary_sixes
B Yadav,6,5,3,100,72,77,50,138.88,-,1,1,3,10
RK Paudel,7,7,-,279,212,95,39.85,131.6,-,2,-,26,11
TJ Moores,7,7,-,165,130,45,23.57,126.92,-,-,-,10,9
S Jora,7,7,1,120,115,26,20,104.34,-,-,-,6,5
Surya Tamang,4,2,1,18,19,11,18,94.73,-,-,-,2,0
D Adhikari,2,1,-,14,16,14,14,87.5,-,-,-,2,0
Saad Bin Zafar,7,6,-,83,63,52,13.83,131.74,-,1,3,5,2
A Saud,6,6,-,68,71,20,11.33,95.77,-,-,1,9,1
A Ghiraiya,6,6,-,44,70,16,7.33,62.85,-,-,1,5,1
UBT Chand,4,4,-,18,29,14,4.5,62.06,-,-,2,2,0
BCJ Cutting,3,3,-,10,19,6,3.33,52.63,-,-,-,1,0
RR Simmonds,7,4,2,6,13,4,3,46.15,-,-,2,0,0
Abhishesh Gautam,4,1,-,-,1,-,-,-,-,-,1,0,0
D Gupta,5,2,2,5,4,5,-,125,-,-,-,1,0
TR Bhandari,1,1,1,3,5,3,-,60,-,-,-,0,0
B Aagri,1,-,-,-,0,-,-,-,-,-,-,0,0
