player,matches_played,innings_batted,not_outs,runs,balls_faced,highest_inns_score,batting_average,batting_strike_rate,hundreds_scored,fifties_scored,ducks_scored,boundary_fours,boundary_sixes
DS Airee,9,9,3,227,141,57,37.83,160.99,-,1,1,15,12
SA Zaib,9,9,-,275,202,90,30.55,136.13,-,2,-,24,12
B Bhandari,9,9,1,235,213,58,29.37,110.32,-,1,-,19,10
I Pandey,9,7,2,128,112,38,25.6,114.28,-,-,-,13,3
B McMullen,9,9,-,201,161,53,22.33,124.84,-,1,-,10,11
NB Budayair,9,4,2,28,22,9,14,127.27,-,-,-,2,1
SC Kuggeleijn,9,7,2,66,45,16,13.2,146.66,-,-,-,7,2
DS Bajwa,1,1,-,12,16,12,12,75,-,-,-,1,0
Aarif Sheikh,9,8,2,69,71,42,11.5,97.18,-,-,1,5,1
Harmeet Singh,5,3,-,28,21,14,9.33,133.33,-,-,-,0,2
N Saud,8,3,1,14,13,10,7,107.69,-,-,-,0,1
Rohan Mustafa,1,1,-,4,7,4,4,57.14,-,-,-,0,0
A Shrestha,1,1,-,1,5,1,1,20,-,-,-,0,0
B Khatri,2,1,1,4,3,4,-,133.33,-,-,-,0,0
A Bohara,9,2,2,2,3,2,-,66.66,-,-,-,0,0
