team,score,over,total_extras,byes,leg_byes,wides,no_balls,run_rate,number_of_team_innings,opposition,ground,match_date
Lumbini,191,20.0,29,5,10,14,-,9.55,1,v Biratnagar,Kirtipur,4 Dec 2024
Biratnagar,181,20.0,23,6,5,9,3,9.05,1,v Chitwan,Kirtipur,13 Dec 2024
Janakpur,131,15.3,22,-,8,14,-,8.45,2,v Biratnagar,Kirtipur,30 Nov 2024
Biratnagar,193,19.5,20,1,4,15,-,9.73,2,v Lumbini,Kirtipur,4 Dec 2024
Janakpur,185,19.2,18,2,-,16,-,9.56,2,v S Paschim,Kirtipur,21 Dec 2024
Lumbini,135,20.0,17,6,8,3,-,6.75,2,v Janakpur,Kirtipur,8 Dec 2024
Chitwan,164,20.0,16,-,3,13,-,8.20,1,v S Paschim,Kirtipur,8 Dec 2024
Biratnagar,127,19.0,15,-,3,11,1,6.68,1,v Janakpur,Kirtipur,30 Nov 2024
Pokhara,148,19.4,15,-,2,13,-,7.52,2,v S Paschim,Kirtipur,15 Dec 2024
Janakpur,136,20.0,15,6,3,6,-,6.80,1,v Lumbini,Kirtipur,8 Dec 2024
S Paschim,153,20.0,14,1,6,6,1,7.65,1,v Pokhara,Kirtipur,15 Dec 2024
Janakpur,51,12.1,13,4,-,9,-,4.19,2,v S Paschim,Kirtipur,11 Dec 2024
Kathmandu,120,18.1,13,-,5,8,-,6.60,2,v Biratnagar,Kirtipur,15 Dec 2024
Karnali,149,20.0,13,-,6,7,-,7.45,1,v Kathmandu,Kirtipur,4 Dec 2024
S Paschim,123,20.0,13,-,-,13,-,6.15,1,v Janakpur,Kirtipur,11 Dec 2024
Chitwan,114,17.1,12,5,2,5,-,6.64,2,v Kathmandu,Kirtipur,2 Dec 2024
Biratnagar,117,19.5,12,-,2,9,1,5.89,1,v Kathmandu,Kirtipur,15 Dec 2024
Chitwan,180,20.0,12,-,1,11,-,9.00,1,v Janakpur,Kirtipur,14 Dec 2024
Pokhara,74,13.2,11,1,-,10,-,5.55,2,v Chitwan,Kirtipur,3 Dec 2024
Pokhara,176,16.5,11,-,3,8,-,10.45,2,v Lumbini,Kirtipur,6 Dec 2024
Janakpur,143,17.1,11,-,1,10,-,8.33,2,v Pokhara,Kirtipur,5 Dec 2024
Lumbini,85,19.2,11,4,-,7,-,4.39,2,v Kathmandu,Kirtipur,11 Dec 2024
Kathmandu,101,19.3,11,4,1,6,-,5.17,1,v Janakpur,Kirtipur,12 Dec 2024
Pokhara,138,20.0,11,-,8,3,-,6.90,1,v Kathmandu,Kirtipur,14 Dec 2024
S Paschim,167,20.0,10,1,3,6,-,8.35,1,v Kathmandu,Kirtipur,5 Dec 2024
Lumbini,170,20.0,10,-,2,8,-,8.50,1,v Pokhara,Kirtipur,6 Dec 2024
Janakpur,139,20.0,10,5,1,4,-,6.95,1,v S Paschim,Kirtipur,18 Dec 2024
Karnali,132,19.5,9,-,3,6,-,6.65,2,v Chitwan,Kirtipur,6 Dec 2024
Biratnagar,126,20.0,9,-,6,3,-,6.30,2,v Karnali,Kirtipur,7 Dec 2024
Janakpur,148,18.0,8,-,2,4,2,8.22,2,v Chitwan,Kirtipur,14 Dec 2024
Kathmandu,111,20.0,8,-,5,3,-,5.55,1,v Chitwan,Kirtipur,2 Dec 2024
Karnali,141,20.0,8,-,1,7,-,7.05,1,v Janakpur,Kirtipur,2 Dec 2024
Pokhara,138,20.0,8,3,-,5,-,6.90,1,v Janakpur,Kirtipur,5 Dec 2024
Lumbini,142,20.0,8,-,-,6,2,7.10,2,v S Paschim,Kirtipur,7 Dec 2024
Karnali,101,20.0,8,1,-,7,-,5.05,1,v S Paschim,Kirtipur,16 Dec 2024
Karnali,118,20.0,8,-,1,7,-,5.90,1,v Janakpur,Kirtipur,19 Dec 2024
S Paschim,184,20.0,8,1,1,6,-,9.20,1,v Janakpur,Kirtipur,21 Dec 2024
S Paschim,105,15.2,7,-,1,6,-,6.84,2,v Karnali,Kirtipur,16 Dec 2024
Biratnagar,92,16.1,7,-,-,7,-,5.69,2,v S Paschim,Kirtipur,3 Dec 2024
S Paschim,131,18.2,7,-,1,5,1,7.14,2,v Chitwan,Kirtipur,8 Dec 2024
Kathmandu,153,19.3,7,-,1,6,-,7.84,2,v Karnali,Kirtipur,4 Dec 2024
S Paschim,182,20.0,7,-,1,6,-,9.10,1,v Biratnagar,Kirtipur,3 Dec 2024
S Paschim,187,20.0,7,1,4,2,-,9.35,1,v Lumbini,Kirtipur,7 Dec 2024
Pokhara,139,20.0,7,-,6,1,-,6.95,2,v Biratnagar,Kirtipur,12 Dec 2024
Karnali,128,20.0,7,1,4,2,-,6.40,1,v Lumbini,Kirtipur,13 Dec 2024
Chitwan,154,20.0,7,-,2,5,-,7.70,2,v Karnali,Kirtipur,18 Dec 2024
Karnali,175,20.0,7,2,4,-,1,8.75,1,v Chitwan,Kirtipur,18 Dec 2024
Karnali,106,15.0,6,2,2,2,-,7.06,2,v Pokhara,Kirtipur,10 Dec 2024
S Paschim,141,18.3,6,-,1,5,-,7.62,2,v Janakpur,Kirtipur,18 Dec 2024
Chitwan,134,20.0,6,-,3,3,-,6.70,2,v Lumbini,Kirtipur,10 Dec 2024
Chitwan,130,20.0,6,1,-,5,-,6.50,2,v Biratnagar,Kirtipur,13 Dec 2024
Janakpur,104,15.5,5,-,1,4,-,6.56,2,v Kathmandu,Kirtipur,12 Dec 2024
Pokhara,103,16.3,5,-,-,5,-,6.24,1,v Karnali,Kirtipur,10 Dec 2024
Chitwan,161,20.0,5,-,1,4,-,8.05,1,v Pokhara,Kirtipur,3 Dec 2024
Chitwan,130,20.0,5,-,2,3,-,6.50,1,v Karnali,Kirtipur,6 Dec 2024
Karnali,133,20.0,5,-,2,3,-,6.65,1,v Biratnagar,Kirtipur,7 Dec 2024
Lumbini,167,20.0,5,2,1,1,1,8.35,1,v Chitwan,Kirtipur,10 Dec 2024
Janakpur,142,15.1,4,-,-,3,1,9.36,2,v Karnali,Kirtipur,2 Dec 2024
Janakpur,119,19.0,4,-,1,3,-,6.26,2,v Karnali,Kirtipur,19 Dec 2024
Biratnagar,139,20.0,4,-,1,3,-,6.95,1,v Pokhara,Kirtipur,12 Dec 2024
Kathmandu,103,19.2,3,-,1,2,-,5.32,1,v Lumbini,Kirtipur,11 Dec 2024
Kathmandu,94,15.5,2,-,1,1,-,5.93,2,v S Paschim,Kirtipur,5 Dec 2024
Kathmandu,142,14.1,1,-,-,-,1,10.02,2,v Pokhara,Kirtipur,14 Dec 2024
Lumbini,123,20.0,-,-,-,-,-,6.15,2,v Karnali,Kirtipur,13 Dec 2024
