player,span,matches_played,innings_as_keeper,dismissed,Caught_as_a_keeper,stumpings,maximum_dismissals_per_innings,dismissials_per_innings
BKEL Milantha (JAB),2024-2024,10,8,5,1,4,2 (1ct 1st),0.625
B Rawal (CHR),2024-2024,8,8,5,5,-,1 (1ct 0st),0.625
A Saud (LUL),2024-2024,6,6,4,1,3,2 (0ct 2st),0.666
B Bhandari (SPR),2024-2024,9,9,4,1,3,2 (1ct 1st),0.444
CAK Walton (KAY),2024-2024,9,9,4,4,-,1 (1ct 0st),0.444
AGS Gous (POA),2024-2024,6,5,3,1,2,3 (1ct 2st),0.6
SS Eskinazi (KAG),2024-2024,7,6,3,1,2,2 (1ct 1st),0.5
Aasif Sheikh (JAB),2024-2024,10,2,2,2,-,2 (2ct 0st),1
SA Edwards (BIK),2024-2024,3,3,2,2,-,1 (1ct 0st),0.666
Lokesh Bam (BIK),2024-2024,7,4,1,1,-,1 (1ct 0st),0.25
UBT Chand (LUL),2024-2024,4,1,-,-,-,-,-
R Rijal (KAG),2024-2024,1,1,-,-,-,-,-
D Nath (POA),2024-2024,6,2,-,-,-,-,-
