Player,Dismissed,Caught_as_a_keeper,stumpings,team,opposition,ground,match_date
AGS Gous,3,1,2,Pokhara,v Kathmandu,Kirtipur,14 Dec 2024
SS Eskinazi,2,1,1,Kathmandu,v Chitwan,Kirtipur,02 Dec 2024
B Bhandari,2,1,1,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
Aasif Sheikh,2,2,-,Janakpur,v Lumbini,Kirtipur,08 Dec 2024
A Saud,2,-,2,Lumbini,v Janakpur,Kirtipur,08 Dec 2024
BKEL Milantha,2,1,1,Janakpur,v Karnali,Kirtipur,19 Dec 2024
B Rawal,1,1,-,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
B Rawal,1,1,-,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
SS Eskinazi,1,-,1,Kathmandu,v Karnali,Kirtipur,04 Dec 2024
BKEL Milantha,1,-,1,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
CAK Walton,1,1,-,Karnali,v Biratnagar,Kirtipur,07 Dec 2024
Lokesh Bam,1,1,-,Biratnagar,v Karnali,Kirtipur,07 Dec 2024
B Rawal,1,1,-,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
B Rawal,1,1,-,Chitwan,v Lumbini,Kirtipur,10 Dec 2024
CAK Walton,1,1,-,Karnali,v Pokhara,Kirtipur,10 Dec 2024
A Saud,1,-,1,Lumbini,v Kathmandu,Kirtipur,11 Dec 2024
SA Edwards,1,1,-,Biratnagar,v Pokhara,Kirtipur,12 Dec 2024
BKEL Milantha,1,-,1,Janakpur,v Kathmandu,Kirtipur,12 Dec 2024
A Saud,1,1,-,Lumbini,v Karnali,Kirtipur,13 Dec 2024
BKEL Milantha,1,-,1,Janakpur,v Chitwan,Kirtipur,14 Dec 2024
SA Edwards,1,1,-,Biratnagar,v Kathmandu,Kirtipur,15 Dec 2024
B Bhandari,1,-,1,S Paschim,v Pokhara,Kirtipur,15 Dec 2024
CAK Walton,1,1,-,Karnali,v S Paschim,Kirtipur,16 Dec 2024
B Bhandari,1,-,1,S Paschim,v Karnali,Kirtipur,16 Dec 2024
B Rawal,1,1,-,Chitwan,v Karnali,Kirtipur,18 Dec 2024
CAK Walton,1,1,-,Karnali,v Janakpur,Kirtipur,19 Dec 2024
MJ Guptill,-,-,-,Biratnagar,v Janakpur,Kirtipur,30 Nov 2024
RP Magar,-,-,-,Biratnagar,v Janakpur,Kirtipur,30 Nov 2024
CB Sole,-,-,-,Biratnagar,v Janakpur,Kirtipur,30 Nov 2024
JK Mukhiya,-,-,-,Biratnagar,v Janakpur,Kirtipur,30 Nov 2024
NR Kirton,-,-,-,Biratnagar,v Janakpur,Kirtipur,30 Nov 2024
LN Rajbanshi,-,-,-,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
H Thaker,-,-,-,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
Mohammad Mohsin,-,-,-,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
Aqib Ilyas,-,-,-,Biratnagar,v Janakpur,Kirtipur,30 Nov 2024
S Lamichhane,-,-,-,Biratnagar,v Janakpur,Kirtipur,30 Nov 2024
AK Sah,-,-,-,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
Aasif Sheikh,-,-,-,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
